,title,hits
68,1달러 대 25만 달러짜리 휴가!,116019292
13,지구의 모든 나라들이 25만 달러를 위해 싸우다,78818782
25,aespa 에스파 'Better Things' MV,33207858
54,STAYC(스테이씨) 'Bubble' MV,27153988
61,"JIHYO(지효) ""Killin' Me Good"" M/V",8341298
47,빵빵이의 체크인 ~!,3945066
60,[사이다당] 준호 도련님 급방문으로 파견직 무시하던 갑질 상사 역관광하는 김가은✌️🔥｜ 킹더랜드 | JTBC 230805 방송,3431796
28,음식이 너무 맛있어요,3052472
51,[sub] 이제는로맨스까지접수한형이랑나불,2864499
24,TOTTENHAM HOTSPUR 2-0 MANCHESTER UNITED // PREMIER LEAGUE HIGHLIGHTS,2853550
0,[한글자막] 손흥민에게 월클라인에서 누구를 뺄지 묻다,2657976
50,"[sub] 성시경의 먹을텐데 l 논현동 삼호짱뚱이 2탄 (with. 하정우,주지훈)",2492136
67,덱스와 두근두근 인도 산골도시 산책 【쇼트트립】,2253404
6,이세계아이돌 (ISEGYE IDOL) - KIDDING (키딩) Official MV,2230060
62,[백종원의 님아 그 시장을 가오_EP.31_서산] “사장님 저랑 서울 갈래요?” 매일 출근 도장 찍고 싶은 곳! 서산 분식집,2188083
49,비상사태!! 양식장이 아닙니다.. 생태계를 파괴하는 한국판 피라냐!! 한번에 수백키로씩 잡히네요..,1828283
11,마! 내 또 왔데이👋 부산 토박이들의 찐맛집 복수혈전🍴 | 또간집 EP.34,1821088
64,먹지마,1704513
44,"돼지갈비 후라이드 : 치킨보다 맛있다는 게 사실일까? 부산 깡통시장이 낳은 천재적인 아이디어! (탕수육, 돈가스와 완전 다름)",1685846
52,신호 대기 중이던 버스가 문 열어준 이유?!,1683921
23,[sub] 이제는로맨스까지접수한형이랑또나불,1558162
37,[SUB] 🔥충격 실화🔥 피아노 치는 김민정 실존❗️ l EP.28 l 조현아의 목요일 밤 l 윈터 에스파 조현아,1365722
5,[분데스리가] 1R 베르더 브레멘 vs 바이에른 뮌헨,1341184
